"filename", "language", "C++", "comment", "blank", "total"
"f:\MyCode\carbonFuture\database\DatabaseServer.cpp", "C++", 33, 0, 5, 38
"f:\MyCode\carbonFuture\database\DatabaseServer.hpp", "C++", 12, 0, 1, 13
"f:\MyCode\carbonFuture\slave.cpp", "C++", 15, 0, 1, 16
"Total", "-", 60, 0, 7, 67
